"idx","full_path","rel_path","top_dir","parent_rel","file_name","stem","ext","size","mtime_utc","sha256","reason_flags","keep_score"
"18","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.903","J11B直管\0740\J11B.0740.B.845.903","J11B直管","J11B直管\0740","J11B.0740.B.845.903","J11B.0740.B.845",".903","9045","2021-03-15T03:09:26.0000000Z","3199583BD9FE643DDA7FCF1F701AE2A751FAE8EA251B062D50CDBAB479467742","","31"
"19","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.904","J11B直管\0740\J11B.0740.B.845.904","J11B直管","J11B直管\0740","J11B.0740.B.845.904","J11B.0740.B.845",".904","9045","2021-03-15T03:09:38.0000000Z","B375F147B262D015218A2F69422896A2B14706ADD7DFC4ACA6549B73F5E27274","","31"
"20","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.905","J11B直管\0740\J11B.0740.B.845.905","J11B直管","J11B直管\0740","J11B.0740.B.845.905","J11B.0740.B.845",".905","9045","2021-03-15T03:09:54.0000000Z","C3B63CA530B5BF65611C9B762E5893DA2B34DDDA9F9B62F779AE35F39390A481","","31"
"21","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.916","J11B直管\0740\J11B.0740.B.845.916","J11B直管","J11B直管\0740","J11B.0740.B.845.916","J11B.0740.B.845",".916","9045","2021-03-15T03:10:58.0000000Z","C99229F3EA91BA139B5105D723BE5CE056192A215ADD25CAEA8031A58533530D","","31"
"22","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.931","J11B直管\0740\J11B.0740.B.845.931","J11B直管","J11B直管\0740","J11B.0740.B.845.931","J11B.0740.B.845",".931","9045","2021-03-15T03:11:52.0000000Z","27F9119B3A0576D8003826740AA638319B6BA055736B0E81DC2A17B1D08F7230","","31"
"23","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.933","J11B直管\0740\J11B.0740.B.845.933","J11B直管","J11B直管\0740","J11B.0740.B.845.933","J11B.0740.B.845",".933","9045","2021-03-15T03:12:04.0000000Z","9B7B38E67CFF5FBDCAC817FA4B8C7D24DFE10FCF108117E04A90370CF7867653","","31"
"24","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.934","J11B直管\0740\J11B.0740.B.845.934","J11B直管","J11B直管\0740","J11B.0740.B.845.934","J11B.0740.B.845",".934","9045","2021-03-15T03:12:14.0000000Z","8744DC4FC69A9980F9A66DB22204D1171BCF7C73A33E36FDAA2FF617CE9D90AA","","31"
"25","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.935","J11B直管\0740\J11B.0740.B.845.935","J11B直管","J11B直管\0740","J11B.0740.B.845.935","J11B.0740.B.845",".935","9045","2021-03-15T03:12:30.0000000Z","16457C139C8D5F7FB4F5D924228A9F53E68B5FACB93C5B95DF2797BB43668259","","31"
"26","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.939","J11B直管\0740\J11B.0740.B.845.939","J11B直管","J11B直管\0740","J11B.0740.B.845.939","J11B.0740.B.845",".939","9045","2021-03-15T03:13:18.0000000Z","A0084E9CD363C08E25ECAA6610FE4FEDCE06893920FF12DF61DC694A1B72D3C2","","31"
"27","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.947","J11B直管\0740\J11B.0740.B.845.947","J11B直管","J11B直管\0740","J11B.0740.B.845.947","J11B.0740.B.845",".947","9045","2021-03-15T03:13:32.0000000Z","C12EA28E673E65A93CA8C1C82FCA400474E58CEB867D22030F17AC24E70B7083","","31"
"28","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.955","J11B直管\0740\J11B.0740.B.845.955","J11B直管","J11B直管\0740","J11B.0740.B.845.955","J11B.0740.B.845",".955","9045","2021-03-15T03:14:42.0000000Z","E1CADD70782C81E3BD4252C8B9AA930505F9D58D1CAF3BB2AF121DB65E142837","","31"
"29","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.957","J11B直管\0740\J11B.0740.B.845.957","J11B直管","J11B直管\0740","J11B.0740.B.845.957","J11B.0740.B.845",".957","9045","2016-11-02T08:04:30.0000000Z","15277A70758FA0373D5171570910A98073F0318B0139F1FEB5DDBE085C0CF31E","","31"
"30","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.959","J11B直管\0740\J11B.0740.B.845.959","J11B直管","J11B直管\0740","J11B.0740.B.845.959","J11B.0740.B.845",".959","9045","2021-03-15T03:14:52.0000000Z","972881B11C2B1DB3B3B666CF73400ABA7448ABF32DFD66AC5FEFDDBB6C293882","","31"
"31","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.963","J11B直管\0740\J11B.0740.B.845.963","J11B直管","J11B直管\0740","J11B.0740.B.845.963","J11B.0740.B.845",".963","9045","2021-03-15T03:15:06.0000000Z","90BF228264DFE81631F9FADE13C0363ED7D5809D3A585797C52D4B9A48426DA2","","31"
"32","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.966","J11B直管\0740\J11B.0740.B.845.966","J11B直管","J11B直管\0740","J11B.0740.B.845.966","J11B.0740.B.845",".966","9045","2021-02-18T02:04:14.0000000Z","26C38F47A89274EC4F6E3FFECC1ACB55B8CCFD521AD31D86D67E86143E747A92","","31"
"33","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740\J11B.0740.B.845.978","J11B直管\0740\J11B.0740.B.845.978","J11B直管","J11B直管\0740","J11B.0740.B.845.978","J11B.0740.B.845",".978","9045","2021-02-18T02:04:54.0000000Z","230B0748F0AE4A224FE28E45A4E4D7E0ADE6B3B48CFEFFAD62E4261F0D0D2CEA","","31"
"34","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.933","J11B直管\0740.A.600深灰\J11BS.0740.A.600.933","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.933","J11BS.0740.A.600",".933","9045","2019-01-16T05:36:10.0000000Z","CF02B7EF2C8D200EDBA403C4D5F37D363DC4B8F31AD534BD823AE84FED5B49A8","","40"
