"file_name","file_count","unique_hash_count","same_content_all","sample_paths"
"36","22","16","NO","VJMsg\30 11\30 11.5314\035\36 | VJMsg\30 11\30 11.5314\045\36 | VJMsg\30 11\30 11.5314\215\36"
"38","22","11","NO","VJMsg\30 11\30 11.5314\035\38 | VJMsg\30 11\30 11.5314\045\38 | VJMsg\30 11\30 11.5314\215\38"
"53","22","12","NO","J11B直管\J11BS.0740.A\53 | VJMsg\30 11\30 11.5314\300\53 | VJMsg\30 11\30 11.5314\815\53"
"73","21","11","NO","J11B直管\J11BS.0740.A\73 | VJMsg\30 11\30 11.5314\035\73 | VJMsg\30 11\30 11.5314\045\73"
"31","21","14","NO","J11B直管\J11BS.0740.A\31 | VJMsg\30 11\30 11.5314\215\31 | VJMsg\30 11\30 11.5314\300\31"
"23","21","14","NO","J11B直管\J11BS.0740.A\23 | VJMsg\30 11\30 11.5314\045\23 | VJMsg\30 11\30 11.5314\050\23"
"44","21","9","NO","VJMsg\30 11\30 11.5314\215\44 | VJMsg\30 11\30 11.5314\300\44 | VJMsg\30 11\30 11.5324\045\44"
"30","21","15","NO","VJMsg\30 11\30 11.5314\035\30 | VJMsg\30 11\30 11.5314\045\30 | VJMsg\30 11\30 11.5314\300\30"
"34","21","11","NO","VJMsg\30 11\30 11.5314\035\34 | VJMsg\30 11\30 11.5314\215\34 | VJMsg\30 11\30 11.5314\300\34"
"62","20","9","NO","VJMsg\30 11\30 11.5314\210\62 | VJMsg\30 11\30 11.5314\815\62 | VJMsg\30 11\30 11.5324\900\62"
"24","20","9","NO","VJMsg\30 11\30 11.5314\300\24 | VJMsg\30 11\30 11.5314\600\24 | VJMsg\30 11\30 11.5314\710\24"
"33","20","11","NO","J11B直管\J11BS.0740.A\33 | VJMsg\30 11\30 11.5314\215\33 | VJMsg\30 11\30 11.5324\045\33"
"75","20","8","NO","J11B直管\J11BS.0740.A\75 | VJMsg\30 11\30 11.5314\210\75 | VJMsg\30 11\30 11.5324\210\75"
"32","20","15","NO","VJMsg\30 11\30 11.5314\045\32 | VJMsg\30 11\30 11.5314\215\32 | VJMsg\30 11\30 11.5314\600\32"
"17","19","15","NO","J11B直管\J11BS.0740.A\17 | VJMsg\30 11\30 11.5314\045\17 | VJMsg\30 11\30 11.5314\050\17"
"26","19","10","NO","VJMsg\30 11\30 11.5314\045\26 | VJMsg\30 11\30 11.5314\215\26 | VJMsg\30 11\30 11.5314\300\26"
"48","19","10","NO","VJMsg\30 11\30 11.5314\210\48 | VJMsg\30 11\30 11.5314\215\48 | VJMsg\30 11\30 11.5314\300\48"
"71","19","11","NO","J11B直管\J11BS.0740.A\新建文件夹 (2)\71 | VJMsg\30 11\30 11.5314\210\71 | VJMsg\30 11\30 11.5324\210\71"
"39","19","13","NO","J11B直管\J11BS.0740.A\新建文件夹 (2)\39 | VJMsg\30 11\30 11.5314\045\39 | VJMsg\30 11\30 11.5314\215\39"
"84","18","9","NO","VJMsg\30 11\30 11.5314\035\84 | VJMsg\30 11\30 11.5314\210\84 | VJMsg\30 11\30 11.5314\710\84"
"49","18","8","NO","J11B直管\J11BS.0740.A\49 | VJMsg\30 11\30 11.5314\045\49 | VJMsg\30 11\30 11.5324\040\49"
"45","18","9","NO","J11B直管\J11BS.0740.A\45 | VJMsg\30 11\30 11.5314\300\45 | VJMsg\30 11\30 11.5324\045\45"
"10","18","12","NO","J11B直管\J11BS.0740.A\10 | VJMsg\30 11\30 11.5314\035\10 | VJMsg\30 11\30 11.5314\600\10"
"59","18","10","NO","J11B直管\J11BS.0740.A\新建文件夹\59 | VJMsg\30 11\30 11.5314\210\59 | VJMsg\30 11\30 11.5314\330\59"
"76","18","7","NO","VJMsg\30 11\30 11.5314\330\76 | VJMsg\30 11\30 11.5324\210\76 | VJMsg\J11B钢管\5314.B.035\035\220\76"
"51","17","11","NO","VJMsg\30 11\30 11.5314\045\51 | VJMsg\30 11\30 11.5314\210\51 | VJMsg\30 11\30 11.5314\215\51"
"54","17","11","NO","VJMsg\30 11\30 11.5314\300\54 | VJMsg\30 11\30 11.5314\330\54 | VJMsg\30 11\30 11.5314\815\54"
"83","16","8","NO","J11B直管\J11BS.0740.A\83 | VJMsg\30 11\30 11.5314\210\83 | VJMsg\30 11\30 11.5314\710\83"
"939","16","5","NO","VJMsg\J11B氧气管\J11BS.7800.A.140\939 | VJMsg\J11B钢管\5314.B.035\035\220\939 | VJMsg\J11B钢管\5314.B.035\035\410\220\939"
"16","16","11","NO","J11B直管\J11BS.0740.A\新建文件夹\16 | VJMsg\30 11\30 11.5314\300\16 | VJMsg\30 11\30 11.5324\700\16"
"50","15","10","NO","VJMsg\30 11\30 11.5314\210\50 | VJMsg\30 11\30 11.5324\040\50 | VJMsg\30 11\30 11.5324\325\50"
"912","14","9","NO","VJMsg\30 11\30 11.5314\040\912 | VJMsg\30 11\30 11.5314\600\912 | VJMsg\30 11\30 11.5314\700\912"
"81","14","9","NO","J11B直管\J11BS.0740.A\81 | VJMsg\30 11\30 11.5314\045\81 | VJMsg\30 11\30 11.5314\210\81"
"47","14","6","NO","J11B直管\J11BS.0740.A\47 | VJMsg\30 11\30 11.5314\215\47 | VJMsg\30 11\30 11.5324\045\47"
"972","14","6","NO","VJMsg\30 11\30 11.5314\815\972 | VJMsg\30 11\30 11.5324\900\972 | VJMsg\J11B钢管\5314.B.035\035\815\972"
