"sha256","dup_count","action","keep_path","keep_rel_path","file_path","rel_path","top_dir","file_name","size","keep_score","reason_flags"
"4471EECE8146A92CB359EC872A31645C95B7CAF42DC56241383EF2608BB9A34E","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.930","VJMsg\30 11.5314.K.700.930","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\700\LV\30 11.5314.K.700.930","VJMsg\30 11\30 11.5314\700\LV\30 11.5314.K.700.930","VJMsg","30 11.5314.K.700.930","9045","50",""
"4471EECE8146A92CB359EC872A31645C95B7CAF42DC56241383EF2608BB9A34E","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.930","VJMsg\30 11.5314.K.700.930","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\700\930","VJMsg\30 11\30 11.5314\700\930","VJMsg","930","9045","280","numeric_name|short_name"
"4CED938F88F3E4527DB8796AE20E80CE3E44488BD457DBEFBC74E22266CCB307","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.931","VJMsg\30 11.5314.K.700.931","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.931","VJMsg\30 11.5314.K.700.931","VJMsg","30 11.5314.K.700.931","9045","26",""
"4CED938F88F3E4527DB8796AE20E80CE3E44488BD457DBEFBC74E22266CCB307","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.931","VJMsg\30 11.5314.K.700.931","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\700\LV\30 11.5314.K.700.931","VJMsg\30 11\30 11.5314\700\LV\30 11.5314.K.700.931","VJMsg","30 11.5314.K.700.931","9045","50",""
"4CED938F88F3E4527DB8796AE20E80CE3E44488BD457DBEFBC74E22266CCB307","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.931","VJMsg\30 11.5314.K.700.931","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\700\931","VJMsg\30 11\30 11.5314\700\931","VJMsg","931","9045","280","numeric_name|short_name"
"26B0C575CCA66692873F68BF8DC64CABF9FC0B96E9A901C2E7AE42EB6DF7F99C","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.932","VJMsg\30 11.5314.K.700.932","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.932","VJMsg\30 11.5314.K.700.932","VJMsg","30 11.5314.K.700.932","9045","26",""
"26B0C575CCA66692873F68BF8DC64CABF9FC0B96E9A901C2E7AE42EB6DF7F99C","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.932","VJMsg\30 11.5314.K.700.932","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\700\30 11.5314.K.700.932","VJMsg\30 11\30 11.5314\700\30 11.5314.K.700.932","VJMsg","30 11.5314.K.700.932","9045","47",""
"26B0C575CCA66692873F68BF8DC64CABF9FC0B96E9A901C2E7AE42EB6DF7F99C","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.932","VJMsg\30 11.5314.K.700.932","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\700\32","VJMsg\30 11\30 11.5314\700\32","VJMsg","32","9045","279","numeric_name|short_name"
"DFE7FBA2E408F38FACDCDC1AB253DF1AC05A7C99A1A9826A87E72B954752E299","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.933","VJMsg\30 11.5314.K.700.933","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.933","VJMsg\30 11.5314.K.700.933","VJMsg","30 11.5314.K.700.933","9045","26",""
"DFE7FBA2E408F38FACDCDC1AB253DF1AC05A7C99A1A9826A87E72B954752E299","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.933","VJMsg\30 11.5314.K.700.933","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\700\30 11.5314.K.700.933","VJMsg\30 11\30 11.5314\700\30 11.5314.K.700.933","VJMsg","30 11.5314.K.700.933","9045","47",""
"DFE7FBA2E408F38FACDCDC1AB253DF1AC05A7C99A1A9826A87E72B954752E299","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.933","VJMsg\30 11.5314.K.700.933","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\700\LGHLV\933","VJMsg\30 11\30 11.5314\700\LGHLV\933","VJMsg","933","9045","286","numeric_name|short_name"
"C3F2183BD09CAB05773FEC6094727AECA5882B333AC8F5B84DD8C49F64C3A2B8","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.934","VJMsg\30 11.5314.K.700.934","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.934","VJMsg\30 11.5314.K.700.934","VJMsg","30 11.5314.K.700.934","9045","26",""
"C3F2183BD09CAB05773FEC6094727AECA5882B333AC8F5B84DD8C49F64C3A2B8","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.934","VJMsg\30 11.5314.K.700.934","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\700\LV\30 11.5314.K.700.934","VJMsg\30 11\30 11.5314\700\LV\30 11.5314.K.700.934","VJMsg","30 11.5314.K.700.934","9045","50",""
"C3F2183BD09CAB05773FEC6094727AECA5882B333AC8F5B84DD8C49F64C3A2B8","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.934","VJMsg\30 11.5314.K.700.934","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\700\934","VJMsg\30 11\30 11.5314\700\934","VJMsg","934","9045","280","numeric_name|short_name"
"0B05E3FE4B8B6CFAC8E8383CA92845094C27E425E8934FFAE5F9B799DA663894","2","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.935","VJMsg\30 11.5314.K.700.935","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.935","VJMsg\30 11.5314.K.700.935","VJMsg","30 11.5314.K.700.935","9045","26",""
"0B05E3FE4B8B6CFAC8E8383CA92845094C27E425E8934FFAE5F9B799DA663894","2","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.700.935","VJMsg\30 11.5314.K.700.935","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\700\30 11.5314.K.700.935","VJMsg\30 11\30 11.5314\700\30 11.5314.K.700.935","VJMsg","30 11.5314.K.700.935","9045","47",""
"8BC270DB2E4D490E9D6660903B6160F4661F11D348DD5555C287721C499D385D","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.903","VJMsg\30 11.5314.K.815.903","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.903","VJMsg\30 11.5314.K.815.903","VJMsg","30 11.5314.K.815.903","9045","26",""
"8BC270DB2E4D490E9D6660903B6160F4661F11D348DD5555C287721C499D385D","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.903","VJMsg\30 11.5314.K.815.903","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\30 11.5314.K.815.903","VJMsg\30 11\30 11.5314\815\30 11.5314.K.815.903","VJMsg","30 11.5314.K.815.903","9045","47",""
"8BC270DB2E4D490E9D6660903B6160F4661F11D348DD5555C287721C499D385D","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.903","VJMsg\30 11.5314.K.815.903","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\3","VJMsg\30 11\30 11.5314\815\3","VJMsg","3","9045","278","numeric_name|short_name"
"4CD01F72B086EDF69192FD8105F228875E20FD75ACF859287BAA5A2FA727A9D5","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.905","VJMsg\30 11.5314.K.815.905","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.905","VJMsg\30 11.5314.K.815.905","VJMsg","30 11.5314.K.815.905","9045","26",""
"4CD01F72B086EDF69192FD8105F228875E20FD75ACF859287BAA5A2FA727A9D5","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.905","VJMsg\30 11.5314.K.815.905","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\30 11.5314.K.815.905","VJMsg\30 11\30 11.5314\815\30 11.5314.K.815.905","VJMsg","30 11.5314.K.815.905","9045","47",""
"4CD01F72B086EDF69192FD8105F228875E20FD75ACF859287BAA5A2FA727A9D5","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.905","VJMsg\30 11.5314.K.815.905","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\5","VJMsg\30 11\30 11.5314\815\5","VJMsg","5","9045","278","numeric_name|short_name"
"CF919FF8015E095FBE7EB4F1C502B8A48FD68AD4BEDEDC7FD1D1D2EE6E790BF7","4","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\3011.5314.K.815.911","VJMsg\3011.5314.K.815.911","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\3011.5314.K.815.911","VJMsg\3011.5314.K.815.911","VJMsg","3011.5314.K.815.911","9045","25",""
"CF919FF8015E095FBE7EB4F1C502B8A48FD68AD4BEDEDC7FD1D1D2EE6E790BF7","4","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\3011.5314.K.815.911","VJMsg\3011.5314.K.815.911","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.911","VJMsg\30 11.5314.K.815.911","VJMsg","30 11.5314.K.815.911","9045","26",""
"CF919FF8015E095FBE7EB4F1C502B8A48FD68AD4BEDEDC7FD1D1D2EE6E790BF7","4","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\3011.5314.K.815.911","VJMsg\3011.5314.K.815.911","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\30 11.5314.K.815.911","VJMsg\30 11\30 11.5314\815\30 11.5314.K.815.911","VJMsg","30 11.5314.K.815.911","9045","47",""
